,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ig01,ig02,ig03,ig04,ig05,ig06,ig07,ig08
77,WBGene00016943,13301.03652,0.6442046199,0.03511598842,18.34505161,3.62E-75,8.07E-73,10632.54934,16119.12779,10266.75642,15659.08078,10617.52606,16634.42137,9993.635517,16485.19487
78,WBGene00000039,365.6845862,2.598740697,0.1440068751,18.04594882,8.49E-73,1.87E-70,115.6516418,553.0082099,80.19841508,536.8085915,99.11342883,818.2904319,117.339954,605.0660168
79,WBGene00007139,312.3132889,2.278554566,0.1269022026,17.95520109,4.37E-72,9.50E-70,127.6794126,528.7445956,91.07277644,474.9572459,81.41460225,571.9138562,126.1130346,496.6107874
80,WBGene00008494,770.7401601,1.432601688,0.07985666928,17.93966241,5.78E-72,1.24E-69,441.3266652,1195.99399,341.1830879,1059.108843,453.9749017,1160.727189,422.2045072,1091.402098
81,WBGene00003828,3847.552369,0.7492027577,0.04176667077,17.93781366,5.98E-72,1.27E-69,2984.737572,4705.119212,2978.215719,4946.580449,2776.060948,4794.114595,2747.070885,4848.519572
82,WBGene00007479,327.8023777,2.465052596,0.1380381157,17.85776765,2.51E-71,5.27E-69,103.6238711,445.8439133,89.71348127,517.71867,84.95436757,649.2956688,123.9197645,607.3492848
83,WBGene00006948,159.0084062,3.402236234,0.1910144485,17.81140778,5.76E-71,1.19E-68,29.60682031,258.8118862,17.67083722,276.4220627,30.08800518,359.3362331,30.70578234,269.4256226
84,WBGene00011957,285.0961782,2.133277695,0.1199710495,17.78160402,9.81E-71,2.01E-68,117.5020681,514.5908206,82.91700542,422.2690627,121.236962,455.3964143,96.50388736,470.3532055
85,WBGene00003771,737.5033269,1.401390281,0.0788412416,17.7748378,1.11E-70,2.24E-68,395.0660085,1110.060356,380.6026478,1182.047937,441.5857231,1008.631902,401.3684406,980.6636008
86,WBGene00000220,195.9162907,2.791564053,0.1572246245,17.75525979,1.57E-70,3.13E-68,40.70937792,300.2622273,46.21603581,304.6751465,57.52118637,393.1351857,52.63848402,372.172682
87,WBGene00006584,609.3833745,1.756697904,0.09897568992,17.7487816,1.76E-70,3.48E-68,299.7690556,959.4237499,265.0625583,758.2516804,272.5619293,1038.87307,273.0621358,1008.062817
88,WBGene00009926,1082.622464,2.541834959,0.1435632819,17.70532774,3.81E-70,7.45E-68,350.655778,1567.025092,290.8891665,1614.243759,306.1896998,2253.856472,320.2174444,1957.9023
89,WBGene00022816,381.8317801,2.435605305,0.1383854304,17.60015703,2.46E-69,4.74E-67,157.2862329,507.5139331,115.5400895,652.1117171,101.7682528,739.129727,100.8904277,680.4138604
